Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RRFLAT	04/03/2023	10:41:56	 4,000	 147,3	 16,79	 8,776	 9,617	 21,61	 0,7089	 0,000	 0,000	 0,000	 27,15	 0,09996	 0,06447	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:42:08	 1,000	 121,9	 15,84	 7,694	 9,366	 21,26	 0,6121	 27,25	 0,000	 0,000	 0,000	 0,09996	 0,06438	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:42:18	 2,000	 130,1	 15,19	 8,562	 9,492	 21,29	 0,6438	 0,000	 28,19	 0,000	 0,000	 0,09996	 0,06446	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:42:30	 3,000	 130,5	 15,29	 8,535	 9,587	 21,30	 0,6391	 0,000	 0,000	 28,21	 0,000	 0,09996	 0,06445	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:42:40	 4,000	 146,7	 16,23	 9,036	 9,644	 21,53	 0,7065	 0,000	 0,000	 0,000	 28,67	 0,09996	 0,06443	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:42:52	 1,000	 121,6	 15,51	 7,845	 9,349	 21,19	 0,6141	 28,27	 0,000	 0,000	 0,000	 0,09996	 0,06447	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:43:02	 2,000	 129,3	 15,14	 8,538	 9,530	 21,22	 0,6393	 0,000	 28,94	 0,000	 0,000	 0,09996	 0,06446	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:43:14	 3,000	 129,9	 14,78	 8,790	 9,596	 21,24	 0,6376	 0,000	 0,000	 28,94	 0,000	 0,09996	 0,06453	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:43:24	 4,000	 146,2	 16,21	 9,018	 9,622	 21,47	 0,7076	 0,000	 0,000	 0,000	 29,50	 0,09996	 0,06442	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:43:36	 1,000	 120,8	 15,19	 7,952	 9,344	 21,14	 0,6116	 28,61	 0,000	 0,000	 0,000	 0,09996	 0,06448	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
